Cognizant Tech Solutions Corp,CTSH,Francisco   D'Souza,http://investing.businessweek.com/research/stocks/people/person.asp?personId=386042&capId=386024&previousCapId=386024&previousTitle=COGNIZANT%20TECH%20SOLUTIONS-A,04-10-2013,03-10-2014
Colgate-Palmolive Co,CL,Ian M. Cook,http://investing.businessweek.com/research/stocks/people/person.asp?personId=262289&capId=262247&previousCapId=262247&previousTitle=COLGATE-PALMOLIVE%20CO,04-10-2013,03-10-2014
Comcast Corp,CMCSA,Brian L. Roberts,http://investing.businessweek.com/research/stocks/people/person.asp?personId=173347&capId=173341&previousCapId=173341&previousTitle=COMCAST%20CORP-CLASS%20A,04-10-2013,03-10-2014
Comerica Inc (MI),CMA,Ralph W. Babb Jr.,http://investing.businessweek.com/research/stocks/people/person.asp?personId=318674&capId=318670&previousCapId=318670&previousTitle=COMERICA%20INC,04-10-2013,03-10-2014
Computer Sciences,CSC,John Michael Lawrie,http://investing.businessweek.com/research/stocks/people/person.asp?personId=29869411&capId=263093&previousCapId=263093&previousTitle=COMPUTER%20SCIENCES%20CORP,04-10-2013,03-10-2014
ConAgra Foods Inc,CAG,Gary M. Rodkin,http://investing.businessweek.com/research/stocks/people/person.asp?personId=1733514&capId=26893&previousCapId=26893&previousTitle=CONAGRA%20FOODS%20INC,04-10-2013,03-10-2014
ConocoPhillips,COP,Ryan M. Lance,http://investing.businessweek.com/research/stocks/people/person.asp?personId=8047740&capId=296527&previousCapId=296527&previousTitle=CONOCOPHILLIPS,04-10-2013,03-10-2014
CONSOL Energy Inc,CNX,J. Brett Harvey,http://investing.businessweek.com/research/stocks/people/person.asp?personId=399121&capId=399117&previousCapId=399117&previousTitle=CONSOL%20ENERGY%20INC,04-10-2013,03-10-2014
Consolidated Edison Inc,ED,John   McAvoy,http://investing.businessweek.com/research/stocks/people/person.asp?personId=53311149&capId=263295&previousCapId=263295&previousTitle=CONSOLIDATED%20EDISON%20INC,04-10-2013,03-10-2014
Constellation Brands Inc A,STZ,Robert S. Sands II,http://investing.businessweek.com/research/stocks/people/person.asp?personId=258595&capId=258589&previousCapId=258589&previousTitle=CONSTELLATION%20BRANDS%20INC-A,04-10-2013,03-10-2014
Corning Inc,GLW,Wendell P. Weeks,http://investing.businessweek.com/research/stocks/people/person.asp?personId=173874&capId=173840&previousCapId=173840&previousTitle=CORNING%20INC,04-10-2013,03-10-2014
Costco Wholesale Corp,COST,W. Craig Jelinek,http://investing.businessweek.com/research/stocks/people/person.asp?personId=200028&capId=92817&previousCapId=92817&previousTitle=COSTCO%20WHOLESALE%20CORP,04-10-2013,03-10-2014
Covidien Plc,COV,José E. Almeida,http://investing.businessweek.com/research/stocks/people/person.asp?personId=4048673&capId=31232183&previousCapId=31232183&previousTitle=COVIDIEN%20PLC,04-10-2013,03-10-2014
Crown Castle Intl Corp,CCI,W. Benjamin Moreland,http://investing.businessweek.com/research/stocks/people/person.asp?personId=228480&capId=27198&previousCapId=27198&previousTitle=CROWN%20CASTLE%20INTL%20CORP,04-10-2013,03-10-2014
CSX Corp,CSX,Michael Jon Ward,http://investing.businessweek.com/research/stocks/people/person.asp?personId=257990&capId=257948&previousCapId=257948&previousTitle=CSX%20CORP,04-10-2013,03-10-2014
Cummins Inc,CMI,N. Thomas Linebarger,http://investing.businessweek.com/research/stocks/people/person.asp?personId=547068&capId=265253&previousCapId=265253&previousTitle=CUMMINS%20INC,04-10-2013,03-10-2014
CVS Caremark Corp.,CVS,Larry J. Merlo,http://investing.businessweek.com/research/stocks/people/person.asp?personId=181995&capId=93625&previousCapId=93625&previousTitle=CVS%20CAREMARK%20CORP,04-10-2013,03-10-2014
Danaher Corp,DHR,H. Lawrence Culp Jr.,http://investing.businessweek.com/research/stocks/people/person.asp?personId=265629&capId=265621&previousCapId=265621&previousTitle=DANAHER%20CORP,04-10-2013,03-10-2014
Darden Restaurants Inc,DRI,Clarence   Otis Jr.,http://investing.businessweek.com/research/stocks/people/person.asp?personId=336164&capId=336160&previousCapId=336160&previousTitle=DARDEN%20RESTAURANTS%20INC,04-10-2013,03-10-2014
